education,skills,interests,certifications_count,career
Bachelor,"Usability Testing,CSS,Design Thinking,Wireframing,User Research,Prototyping,Figma,Adobe XD,HTML","Design,Product Development",2,UX/UI Designer
Bachelor,"Linux,Git,Kubernetes,Docker,Ansible,Azure,Jenkins,Bash",System Administration,2,DevOps Engineer
Master,"C++,Node.js,Java,AWS,Python,API Development,JavaScript,SQL,Git","Mobile Apps,Problem Solving,Web Development",1,Software Engineer
Bachelor,"Stakeholder Management,Data Analysis,Roadmap Planning,SQL,Leadership,Product Strategy,Agile,Scrum","Strategy,Innovation,Leadership",0,Product Manager
Bachelor,"Linux,CI/CD,Docker,Git,Python,Azure,Terraform,Bash,Ansible,AWS","Infrastructure,Automation,System Administration",0,DevOps Engineer
Master,"AWS,Java,Node.js,C++,Data Structures,Git,Python,SQL","Web Development,Software Development,Problem Solving",2,Software Engineer
Bachelor,"AWS,Kubernetes,Terraform,Linux,Python,Docker,Git,Azure,Ansible",Automation,1,DevOps Engineer
Bachelor,"Terraform,Docker,Git,Kubernetes,Azure,AWS",Infrastructure,0,DevOps Engineer
Bachelor,"Docker,React,Algorithms,Node.js,Git,AWS,API Development",Software Development,1,Software Engineer
Bachelor,"Firewalls,Linux,SIEM,Cryptography,Penetration Testing","Security,Risk Management",0,Cybersecurity Analyst
Bachelor,"Scrum,Product Strategy,Stakeholder Management,Roadmap Planning,User Research,SQL,Leadership,Data Analysis",Strategy,0,Product Manager
Bachelor,"HTML,Usability Testing,Figma,User Research,Adobe XD,Design Thinking,Wireframing","Visual Design,Design",2,UX/UI Designer
Bachelor,"Python,Ethical Hacking,SIEM,Risk Assessment,Firewalls,Penetration Testing,Cryptography,Network Security,Linux","Network Protection,Ethical Hacking,Risk Management",1,Cybersecurity Analyst
Bachelor,"Agile,Stakeholder Management,Product Strategy,Data Analysis,Scrum,Roadmap Planning,SQL,User Research,Leadership",Innovation,3,Product Manager
Bachelor,"Prototyping,HTML,Design Thinking,User Research,Usability Testing,Wireframing,CSS,Adobe XD",User Experience,0,UX/UI Designer
Master,"Design Thinking,HTML,CSS,Wireframing,Usability Testing","Design,Visual Design",0,UX/UI Designer
Master,"Terraform,Docker,Linux,Ansible,Azure,Bash","Infrastructure,System Administration,Cloud Computing",3,DevOps Engineer
Master,"R,SQL,Machine Learning,PyTorch,TensorFlow,Deep Learning,Pandas,NumPy","Data Analysis,Machine Learning",0,Data Scientist
Bachelor,"SIEM,Firewalls,Network Security,Linux,Ethical Hacking,Python","Ethical Hacking,Risk Management,Security",0,Cybersecurity Analyst
Bachelor,"SIEM,Network Security,Penetration Testing,Cryptography,Ethical Hacking","Network Protection,Risk Management,Security",1,Cybersecurity Analyst
Bachelor,"Python,SQL,Algorithms,Node.js,Git,AWS","Web Development,Problem Solving",1,Software Engineer
Bachelor,"Network Security,Linux,Cryptography,Penetration Testing,Python,Ethical Hacking",Network Protection,3,Cybersecurity Analyst
Bachelor,"Linux,Ansible,Python,CI/CD,Git,Terraform,AWS,Bash",System Administration,0,DevOps Engineer
PhD,"PyTorch,Python,SQL,NumPy,R,Statistics,Tableau,Data Visualization","Machine Learning,AI,Statistics",2,Data Scientist
Master,"SQL,Scrum,Agile,Roadmap Planning,Data Analysis,Product Strategy,Stakeholder Management","Leadership,Strategy",1,Product Manager
Bachelor,"CI/CD,Ansible,Kubernetes,Git,Jenkins,AWS,Docker,Linux","Automation,Infrastructure",0,DevOps Engineer
Master,"Pandas,NumPy,Statistics,Deep Learning,Tableau,R","Statistics,Research,Data Analysis",1,Data Scientist
Bachelor,"Java,JavaScript,SQL,Data Structures,Python","Web Development,Problem Solving,Mobile Apps",0,Software Engineer
Master,"Node.js,Data Structures,Python,Git,Docker",Software Development,1,Software Engineer
Master,"JavaScript,AWS,React,Docker,Python","Software Development,Web Development",1,Software Engineer
Bachelor,"React,API Development,Node.js,AWS,Data Structures,C++,Java",Problem Solving,0,Software Engineer
Master,"SQL,Java,API Development,AWS,Docker,JavaScript,Data Structures,Git,Python,Algorithms","Web Development,Problem Solving",1,Software Engineer
Bachelor,"Data Analysis,Scrum,Stakeholder Management,Product Strategy,User Research,SQL,Roadmap Planning","Strategy,Leadership,Innovation",3,Product Manager
Bachelor,"SIEM,Ethical Hacking,Python,Linux,Penetration Testing,Cryptography,Firewalls","Risk Management,Security",0,Cybersecurity Analyst
Master,"Python,TensorFlow,PyTorch,Pandas,Data Visualization,Deep Learning,SQL,R,NumPy,Statistics","Statistics,Machine Learning",0,Data Scientist
Bachelor,"Design Thinking,Wireframing,Adobe XD,User Research,Usability Testing,Figma,CSS",Design,2,UX/UI Designer
Master,"Python,Statistics,Machine Learning,NumPy,PyTorch,SQL,R,Tableau","AI,Data Analysis",0,Data Scientist
Master,"R,NumPy,TensorFlow,PyTorch,SQL,Data Visualization,Pandas,Deep Learning,Machine Learning",Research,0,Data Scientist
Master,"Bash,Azure,Jenkins,Ansible,Docker,Linux,Git,Kubernetes,CI/CD,Python",Cloud Computing,0,DevOps Engineer
Master,"Python,React,Docker,Git,Java",Problem Solving,1,Software Engineer
Bachelor,"Design Thinking,User Research,HTML,Figma,CSS,Usability Testing,Wireframing,Prototyping","Visual Design,Design,Product Development",1,UX/UI Designer
Master,"PyTorch,NumPy,Python,Pandas,Statistics,R,Data Visualization","Machine Learning,Research,AI",1,Data Scientist
Bachelor,"Jenkins,Python,Git,CI/CD,Ansible,Kubernetes",Automation,2,DevOps Engineer
Bachelor,"SQL,Stakeholder Management,Data Analysis,Scrum,Product Strategy,User Research,Agile,Roadmap Planning,Leadership","Innovation,Product Development,Strategy",0,Product Manager
Bachelor,"Adobe XD,Wireframing,Usability Testing,Figma,User Research,HTML,Prototyping","User Experience,Visual Design",0,UX/UI Designer
Master,"User Research,SQL,Data Analysis,Agile,Stakeholder Management,Scrum,Product Strategy,Roadmap Planning",Product Development,2,Product Manager
Bachelor,"Terraform,Git,Bash,Jenkins,CI/CD,Linux","Infrastructure,Cloud Computing",0,DevOps Engineer
Bachelor,"Figma,HTML,User Research,Design Thinking,CSS",Design,2,UX/UI Designer
Bachelor,"Azure,Python,Kubernetes,Ansible,Git,Docker,CI/CD,Bash","Automation,Cloud Computing,System Administration",0,DevOps Engineer
Bachelor,"Linux,CI/CD,Jenkins,Kubernetes,Python,Bash","Infrastructure,Automation,System Administration",0,DevOps Engineer
PhD,"TensorFlow,Python,Machine Learning,R,Pandas,Statistics,NumPy,Deep Learning","Research,Machine Learning,Data Analysis",0,Data Scientist
Bachelor,"Kubernetes,Jenkins,Python,Terraform,Azure,Docker,AWS",Infrastructure,1,DevOps Engineer
Bachelor,"HTML,Figma,Adobe XD,Usability Testing,Wireframing,Design Thinking,CSS,Prototyping","Product Development,Design,User Experience",0,UX/UI Designer
Master,"Leadership,User Research,Agile,SQL,Data Analysis,Scrum,Roadmap Planning,Product Strategy","Strategy,Innovation,Product Development",0,Product Manager
Bachelor,"Python,Algorithms,JavaScript,Java,AWS,API Development,C++,SQL,Git","Mobile Apps,Web Development,Software Development",0,Software Engineer
Bachelor,"Python,SIEM,Ethical Hacking,Firewalls,Network Security,Penetration Testing,Linux,Risk Assessment,Cryptography","Ethical Hacking,Security",2,Cybersecurity Analyst
Master,"SQL,Python,Tableau,Machine Learning,TensorFlow,Statistics,Pandas,Data Visualization,NumPy",Data Analysis,0,Data Scientist
Bachelor,"Linux,Cryptography,SIEM,Penetration Testing,Network Security,Ethical Hacking,Risk Assessment,Firewalls","Ethical Hacking,Network Protection",0,Cybersecurity Analyst
Master,"Java,Git,JavaScript,Docker,C++,Python,React,Data Structures","Problem Solving,Web Development,Mobile Apps",0,Software Engineer
Master,"Data Analysis,Roadmap Planning,Scrum,Agile,Stakeholder Management,Leadership","Innovation,Leadership",1,Product Manager
Bachelor,"Roadmap Planning,Leadership,Stakeholder Management,Agile,Scrum,Data Analysis,SQL,User Research","Product Development,Strategy",0,Product Manager
Bachelor,"CSS,Adobe XD,HTML,Prototyping,Usability Testing","Product Development,Visual Design",1,UX/UI Designer
Bachelor,"AWS,Ansible,Linux,Terraform,Bash,Python",Cloud Computing,1,DevOps Engineer
Master,"SIEM,Risk Assessment,Penetration Testing,Firewalls,Network Security","Risk Management,Network Protection,Ethical Hacking",2,Cybersecurity Analyst
PhD,"TensorFlow,Pandas,PyTorch,Statistics,Machine Learning,Data Visualization,Deep Learning,Tableau,SQL",Data Analysis,2,Data Scientist
Master,"R,PyTorch,Data Visualization,TensorFlow,SQL,Pandas,Statistics,Tableau,Machine Learning,Python","Research,Data Analysis",1,Data Scientist
Bachelor,"Scrum,Product Strategy,Agile,Data Analysis,User Research,Stakeholder Management",Innovation,2,Product Manager
Bachelor,"Scrum,Stakeholder Management,Data Analysis,Leadership,Roadmap Planning,Product Strategy,Agile,User Research,SQL",Innovation,0,Product Manager
Bachelor,"Pandas,Statistics,Python,Machine Learning,Tableau,SQL,PyTorch,NumPy","AI,Data Analysis",1,Data Scientist
Master,"Data Structures,Python,Node.js,Git,SQL,Algorithms,React,JavaScript","Web Development,Software Development,Mobile Apps",2,Software Engineer
Bachelor,"Leadership,Stakeholder Management,Roadmap Planning,Data Analysis,User Research,Agile,SQL","Innovation,Strategy",1,Product Manager
Bachelor,"Bash,AWS,Ansible,Azure,Kubernetes,Docker,Terraform","Infrastructure,System Administration,Cloud Computing",0,DevOps Engineer
Master,"Agile,Data Analysis,User Research,Product Strategy,Leadership,Roadmap Planning","Strategy,Innovation",1,Product Manager
Bachelor,"Algorithms,React,Node.js,Java,API Development,Data Structures,SQL,Git,C++",Software Development,0,Software Engineer
Master,"Git,API Development,Node.js,Algorithms,JavaScript,Java,C++,Docker","Web Development,Problem Solving",0,Software Engineer
Bachelor,"Agile,Leadership,Stakeholder Management,Data Analysis,SQL,Scrum,Product Strategy,Roadmap Planning,User Research","Innovation,Product Development",3,Product Manager
Master,"Data Visualization,Statistics,Python,Pandas,Tableau,R,NumPy,TensorFlow","AI,Data Analysis,Statistics",1,Data Scientist
Bachelor,"Stakeholder Management,Product Strategy,Agile,Scrum,Data Analysis,Leadership,SQL,User Research","Strategy,Product Development,Leadership",1,Product Manager
Master,"SIEM,Firewalls,Python,Linux,Cryptography,Ethical Hacking","Network Protection,Risk Management,Security",1,Cybersecurity Analyst
Bachelor,"JavaScript,Docker,Node.js,Java,SQL","Software Development,Problem Solving",0,Software Engineer
Master,"AWS,Python,Git,API Development,C++",Web Development,1,Software Engineer
Master,"Tableau,TensorFlow,Pandas,Python,PyTorch,Machine Learning,Statistics,SQL,NumPy,R",Research,3,Data Scientist
Bachelor,"Git,Bash,AWS,Kubernetes,Terraform,Python,Azure","System Administration,Automation",1,DevOps Engineer
Bachelor,"R,NumPy,SQL,Statistics,Tableau,Machine Learning,Pandas,Data Visualization","Data Analysis,Research",1,Data Scientist
Bachelor,"Python,Linux,Cryptography,Penetration Testing,SIEM,Risk Assessment,Ethical Hacking,Network Security,Firewalls","Security,Risk Management",0,Cybersecurity Analyst
Bachelor,"Penetration Testing,Cryptography,Python,Network Security,Firewalls,SIEM,Ethical Hacking,Linux",Risk Management,2,Cybersecurity Analyst
Bachelor,"Python,Linux,Risk Assessment,Network Security,Firewalls,SIEM,Penetration Testing,Ethical Hacking,Cryptography","Network Protection,Risk Management",1,Cybersecurity Analyst
Master,"Tableau,Deep Learning,Machine Learning,Data Visualization,NumPy,Statistics,SQL,R","Research,Data Analysis",3,Data Scientist
Bachelor,"Data Analysis,Stakeholder Management,SQL,Roadmap Planning,Leadership,User Research",Strategy,1,Product Manager
Master,"Product Strategy,Data Analysis,User Research,Leadership,Roadmap Planning,Stakeholder Management,Scrum","Leadership,Strategy,Innovation",1,Product Manager
Bachelor,"Cryptography,Risk Assessment,SIEM,Firewalls,Python,Penetration Testing,Ethical Hacking,Linux","Network Protection,Risk Management,Ethical Hacking",0,Cybersecurity Analyst
Bachelor,"Ansible,Bash,CI/CD,Kubernetes,Linux,Terraform,Docker,AWS,Azure,Git",Cloud Computing,3,DevOps Engineer
Bachelor,"Terraform,AWS,Jenkins,CI/CD,Azure,Python,Bash,Git,Docker,Ansible",Cloud Computing,1,DevOps Engineer
Bachelor,"Git,Python,Azure,Kubernetes,Ansible,CI/CD,AWS,Docker","Automation,Infrastructure,Cloud Computing",0,DevOps Engineer
Bachelor,"Penetration Testing,Linux,Python,Risk Assessment,Ethical Hacking,SIEM,Network Security,Firewalls","Risk Management,Security",2,Cybersecurity Analyst
Bachelor,"Kubernetes,AWS,CI/CD,Bash,Python,Ansible,Azure","Infrastructure,Automation",0,DevOps Engineer
Master,"Deep Learning,Statistics,PyTorch,Pandas,TensorFlow,NumPy,Machine Learning,Python,Data Visualization",Data Analysis,0,Data Scientist
Master,"User Research,Adobe XD,Prototyping,Wireframing,CSS","Product Development,User Experience",0,UX/UI Designer
Master,"Adobe XD,Prototyping,Wireframing,User Research,Usability Testing,CSS,Figma,HTML,Design Thinking",Design,1,UX/UI Designer
Bachelor,"Design Thinking,Figma,Usability Testing,Adobe XD,Prototyping,HTML,User Research,Wireframing","User Experience,Product Development,Visual Design",1,UX/UI Designer
Master,"Stakeholder Management,Leadership,SQL,Data Analysis,Roadmap Planning,Agile,Product Strategy,User Research",Strategy,0,Product Manager
Bachelor,"Wireframing,Prototyping,CSS,Usability Testing,Design Thinking","Product Development,Design",0,UX/UI Designer
Bachelor,"Kubernetes,Docker,Azure,CI/CD,Git,Linux,AWS,Terraform,Python",Infrastructure,0,DevOps Engineer
Bachelor,"Adobe XD,User Research,Prototyping,Wireframing,Design Thinking,Figma",Product Development,1,UX/UI Designer
PhD,"PyTorch,Tableau,TensorFlow,Pandas,Data Visualization,SQL","Machine Learning,Research,Data Analysis",2,Data Scientist
Bachelor,"Java,Algorithms,Docker,Git,AWS,JavaScript,C++,API Development","Software Development,Problem Solving",1,Software Engineer
Bachelor,"Algorithms,Node.js,JavaScript,SQL,C++,Git,Java,AWS,React","Web Development,Software Development",2,Software Engineer
Master,"CSS,User Research,Figma,Usability Testing,Prototyping,Wireframing,Design Thinking,Adobe XD,HTML","User Experience,Design",1,UX/UI Designer
Master,"Algorithms,AWS,SQL,Java,Git","Problem Solving,Mobile Apps,Web Development",2,Software Engineer
Bachelor,"Penetration Testing,Linux,Firewalls,Risk Assessment,SIEM,Network Security,Ethical Hacking,Python","Ethical Hacking,Security",1,Cybersecurity Analyst
Bachelor,"Python,Linux,Ansible,Jenkins,AWS,Docker,CI/CD","Automation,Cloud Computing,Infrastructure",2,DevOps Engineer
Bachelor,"Product Strategy,Data Analysis,User Research,Scrum,Agile,Roadmap Planning,SQL,Leadership,Stakeholder Management","Strategy,Innovation,Leadership",2,Product Manager
Bachelor,"Ethical Hacking,Penetration Testing,SIEM,Risk Assessment,Network Security,Firewalls","Risk Management,Network Protection",0,Cybersecurity Analyst
Bachelor,"AWS,Jenkins,Terraform,CI/CD,Bash,Azure,Python","Cloud Computing,Automation,Infrastructure",0,DevOps Engineer
Master,"C++,JavaScript,Node.js,AWS,SQL,API Development","Web Development,Mobile Apps",1,Software Engineer
Bachelor,"User Research,HTML,Wireframing,CSS,Design Thinking","Visual Design,Product Development,User Experience",2,UX/UI Designer
Bachelor,"CSS,User Research,Wireframing,Usability Testing,Adobe XD","User Experience,Design,Product Development",0,UX/UI Designer
Bachelor,"Data Structures,SQL,React,C++,Algorithms,Python,API Development,Git,JavaScript","Mobile Apps,Problem Solving",0,Software Engineer
Master,"Node.js,React,JavaScript,Git,Python,Java",Mobile Apps,2,Software Engineer
Master,"Linux,Jenkins,Docker,Azure,AWS,Ansible","Infrastructure,Cloud Computing",1,DevOps Engineer
Bachelor,"Firewalls,Cryptography,Risk Assessment,Network Security,Penetration Testing,SIEM,Ethical Hacking,Linux","Risk Management,Network Protection,Security",3,Cybersecurity Analyst
Master,"Node.js,API Development,Python,C++,AWS","Web Development,Problem Solving",0,Software Engineer
Master,"Data Visualization,SQL,Python,Statistics,NumPy,TensorFlow","Data Analysis,Research",0,Data Scientist
Master,"Design Thinking,Wireframing,HTML,User Research,Prototyping,Adobe XD","Visual Design,Design,User Experience",2,UX/UI Designer
Master,"Ansible,Python,Kubernetes,Linux,Jenkins,Terraform,Docker,CI/CD,Azure","Infrastructure,Automation,System Administration",2,DevOps Engineer
Bachelor,"Python,Algorithms,JavaScript,AWS,React,Data Structures,SQL","Software Development,Web Development,Problem Solving",1,Software Engineer
Bachelor,"Penetration Testing,Cryptography,SIEM,Network Security,Risk Assessment,Python","Risk Management,Network Protection,Ethical Hacking",1,Cybersecurity Analyst
Bachelor,"PyTorch,R,Deep Learning,NumPy,Pandas,Machine Learning,Statistics,Data Visualization,SQL","Data Analysis,Statistics",0,Data Scientist
Master,"SQL,Git,Data Structures,Python,API Development,Docker,Node.js,Java",Problem Solving,1,Software Engineer
Bachelor,"React,Data Structures,Java,C++,API Development,Python,Docker,Git,AWS,Algorithms",Software Development,1,Software Engineer
Bachelor,"Node.js,React,Data Structures,C++,Python,API Development,Docker,AWS","Mobile Apps,Software Development",1,Software Engineer
Master,"Python,Linux,Ethical Hacking,Risk Assessment,SIEM,Network Security,Penetration Testing,Firewalls","Security,Risk Management,Ethical Hacking",2,Cybersecurity Analyst
Bachelor,"Roadmap Planning,User Research,Agile,Stakeholder Management,Product Strategy,Leadership,Data Analysis,SQL,Scrum","Leadership,Product Development,Strategy",2,Product Manager
Bachelor,"Roadmap Planning,Scrum,SQL,Agile,Stakeholder Management,Product Strategy,Data Analysis,Leadership,User Research",Leadership,0,Product Manager
Bachelor,"API Development,SQL,C++,Git,Algorithms,Docker,Java,React","Mobile Apps,Software Development",0,Software Engineer
PhD,"SQL,Pandas,Statistics,R,Deep Learning,Data Visualization",Research,0,Data Scientist
Bachelor,"Product Strategy,Leadership,Stakeholder Management,User Research,Data Analysis,Roadmap Planning,Scrum,SQL","Innovation,Product Development,Leadership",0,Product Manager
Bachelor,"Leadership,User Research,Data Analysis,Stakeholder Management,SQL,Product Strategy,Roadmap Planning,Agile,Scrum",Strategy,1,Product Manager
Bachelor,"CSS,Wireframing,Prototyping,Adobe XD,HTML","Product Development,Design,User Experience",1,UX/UI Designer
Master,"NumPy,Data Visualization,TensorFlow,Statistics,Machine Learning,R,Pandas,PyTorch,Tableau,SQL","AI,Research",3,Data Scientist
Bachelor,"Jenkins,AWS,Git,Terraform,Docker,Linux,CI/CD,Azure,Ansible,Python","Cloud Computing,Infrastructure,System Administration",2,DevOps Engineer
Bachelor,"Penetration Testing,Ethical Hacking,SIEM,Python,Linux,Firewalls,Cryptography,Risk Assessment","Ethical Hacking,Security,Risk Management",1,Cybersecurity Analyst
Bachelor,"SQL,Stakeholder Management,Roadmap Planning,User Research,Agile,Leadership,Scrum,Product Strategy",Leadership,2,Product Manager
Bachelor,"JavaScript,SQL,C++,Algorithms,Docker,Python,Data Structures","Mobile Apps,Software Development",0,Software Engineer
Master,"Usability Testing,Prototyping,HTML,Figma,Wireframing,Adobe XD,User Research,CSS,Design Thinking",Visual Design,1,UX/UI Designer
Master,"Python,R,Data Visualization,TensorFlow,Machine Learning,Statistics,SQL,Tableau,PyTorch","Machine Learning,AI,Statistics",0,Data Scientist
Master,"HTML,User Research,Figma,Usability Testing,CSS,Prototyping",Design,1,UX/UI Designer
Master,"API Development,SQL,Java,Data Structures,C++,Docker,React,Git",Mobile Apps,0,Software Engineer
Bachelor,"CI/CD,Kubernetes,Bash,Python,AWS,Linux,Terraform,Git","Automation,Cloud Computing",0,DevOps Engineer
Master,"Data Visualization,TensorFlow,Machine Learning,Pandas,R,Tableau,NumPy,PyTorch,Python","Data Analysis,Machine Learning",1,Data Scientist
Bachelor,"AWS,Azure,Docker,Python,Linux,Git,Jenkins,Ansible","Automation,System Administration",1,DevOps Engineer
Bachelor,"Algorithms,API Development,JavaScript,Data Structures,React,Docker,C++,Git","Problem Solving,Mobile Apps,Web Development",0,Software Engineer
Master,"Algorithms,Node.js,Data Structures,API Development,AWS,C++,Java,Git","Mobile Apps,Problem Solving",2,Software Engineer
Master,"Pandas,Python,R,Machine Learning,NumPy,Data Visualization,PyTorch,Deep Learning,Statistics,SQL","Data Analysis,Machine Learning,Statistics",1,Data Scientist
Master,"SIEM,Risk Assessment,Ethical Hacking,Network Security,Linux,Firewalls,Cryptography,Python,Penetration Testing","Ethical Hacking,Risk Management",1,Cybersecurity Analyst
Bachelor,"SIEM,Network Security,Penetration Testing,Python,Risk Assessment,Linux,Firewalls",Network Protection,0,Cybersecurity Analyst
Bachelor,"Java,React,C++,Git,Python,Algorithms","Mobile Apps,Problem Solving,Web Development",2,Software Engineer
Bachelor,"Prototyping,HTML,Adobe XD,Wireframing,User Research,CSS",Visual Design,0,UX/UI Designer
Master,"Git,Ansible,Docker,CI/CD,Python,Kubernetes,AWS,Linux",Cloud Computing,0,DevOps Engineer
PhD,"Pandas,Machine Learning,Statistics,SQL,Deep Learning,NumPy,Tableau,Python,PyTorch",Statistics,1,Data Scientist
Bachelor,"User Research,Agile,Leadership,Product Strategy,Scrum,SQL,Roadmap Planning","Product Development,Leadership,Innovation",1,Product Manager
Bachelor,"Product Strategy,User Research,Stakeholder Management,Scrum,Agile,Data Analysis","Leadership,Innovation,Strategy",1,Product Manager
Master,"SQL,Agile,User Research,Leadership,Data Analysis,Scrum,Product Strategy","Product Development,Strategy",2,Product Manager
Bachelor,"Design Thinking,Usability Testing,Prototyping,User Research,Adobe XD,Wireframing,Figma","Visual Design,User Experience",1,UX/UI Designer
Master,"Figma,CSS,User Research,Prototyping,Design Thinking,Wireframing,Usability Testing,HTML,Adobe XD","Visual Design,User Experience",2,UX/UI Designer
Master,"Ethical Hacking,SIEM,Firewalls,Risk Assessment,Network Security,Penetration Testing,Cryptography,Python","Ethical Hacking,Security",1,Cybersecurity Analyst
Bachelor,"C++,Data Structures,Algorithms,Node.js,Python,AWS,SQL","Web Development,Software Development",1,Software Engineer
Bachelor,"AWS,Docker,Git,CI/CD,Terraform,Kubernetes,Python,Azure,Jenkins,Bash",Infrastructure,0,DevOps Engineer
Bachelor,"Terraform,AWS,Python,Ansible,Git,Docker,Kubernetes","Cloud Computing,Automation,System Administration",0,DevOps Engineer
Bachelor,"SIEM,Risk Assessment,Linux,Firewalls,Cryptography","Security,Risk Management,Network Protection",2,Cybersecurity Analyst
Bachelor,"AWS,Python,Docker,Data Structures,Algorithms,SQL,React,C++","Web Development,Mobile Apps,Problem Solving",2,Software Engineer
Bachelor,"Python,Algorithms,C++,Git,JavaScript","Problem Solving,Software Development",1,Software Engineer
Bachelor,"User Research,Usability Testing,CSS,Prototyping,Design Thinking,Figma","Visual Design,User Experience",0,UX/UI Designer
Bachelor,"React,AWS,Java,Data Structures,Python,JavaScript,Docker,SQL,API Development,Algorithms","Problem Solving,Web Development,Software Development",0,Software Engineer
Master,"Stakeholder Management,Leadership,Data Analysis,SQL,User Research,Scrum,Agile,Roadmap Planning,Product Strategy","Leadership,Strategy",1,Product Manager
Bachelor,"SQL,Roadmap Planning,User Research,Data Analysis,Product Strategy,Agile,Scrum",Leadership,0,Product Manager
Bachelor,"API Development,SQL,Data Structures,Algorithms,Node.js,Docker,Java,JavaScript","Mobile Apps,Problem Solving",0,Software Engineer
Bachelor,"Git,Bash,Terraform,Python,AWS,Docker,Ansible,Kubernetes",Infrastructure,0,DevOps Engineer
Bachelor,"Docker,Git,React,C++,Node.js,Algorithms,SQL,API Development",Problem Solving,1,Software Engineer
Bachelor,"Linux,Bash,Docker,CI/CD,Git,Python,Azure,AWS,Terraform",Infrastructure,0,DevOps Engineer
Bachelor,"Python,Jenkins,CI/CD,Terraform,AWS,Git,Docker","Cloud Computing,Infrastructure,System Administration",1,DevOps Engineer
Bachelor,"Usability Testing,Adobe XD,Design Thinking,Prototyping,HTML","User Experience,Visual Design,Product Development",0,UX/UI Designer
Master,"SQL,Product Strategy,Stakeholder Management,Agile,User Research,Data Analysis,Scrum,Roadmap Planning","Strategy,Product Development,Innovation",1,Product Manager
Master,"Node.js,API Development,React,JavaScript,Python,Git,Java,AWS","Mobile Apps,Web Development",2,Software Engineer
Bachelor,"Data Analysis,Roadmap Planning,Agile,Leadership,Scrum,User Research,SQL,Product Strategy,Stakeholder Management","Product Development,Strategy",0,Product Manager
Bachelor,"Linux,Firewalls,Python,SIEM,Ethical Hacking,Penetration Testing,Risk Assessment,Network Security,Cryptography","Security,Risk Management",1,Cybersecurity Analyst
Master,"Product Strategy,Scrum,SQL,User Research,Data Analysis,Stakeholder Management,Roadmap Planning,Agile","Innovation,Product Development",1,Product Manager
Bachelor,"Design Thinking,User Research,CSS,Adobe XD,HTML,Usability Testing,Wireframing","User Experience,Design,Visual Design",0,UX/UI Designer
Bachelor,"Risk Assessment,Firewalls,Network Security,Ethical Hacking,Penetration Testing,Linux,SIEM,Cryptography","Ethical Hacking,Risk Management",0,Cybersecurity Analyst
Bachelor,"Stakeholder Management,Product Strategy,Roadmap Planning,User Research,Data Analysis,Leadership,Scrum,SQL","Innovation,Product Development,Leadership",1,Product Manager
Master,"Linux,Bash,Git,Terraform,AWS,Ansible","Automation,Infrastructure,Cloud Computing",2,DevOps Engineer
Bachelor,"Data Structures,React,AWS,Node.js,C++,Python,Java,API Development,Docker","Software Development,Problem Solving",3,Software Engineer
Bachelor,"Python,Ethical Hacking,Cryptography,Network Security,Linux,Risk Assessment",Ethical Hacking,1,Cybersecurity Analyst
Bachelor,"CSS,Figma,User Research,Wireframing,Adobe XD,Design Thinking,Usability Testing,Prototyping","Design,Product Development,Visual Design",0,UX/UI Designer
Bachelor,"Adobe XD,Design Thinking,Wireframing,CSS,Usability Testing,Figma,Prototyping,HTML,User Research",User Experience,0,UX/UI Designer
Master,"Data Analysis,User Research,Product Strategy,Roadmap Planning,Scrum,SQL,Stakeholder Management,Leadership,Agile","Innovation,Strategy",0,Product Manager
Bachelor,"Azure,Linux,Ansible,Python,Terraform,CI/CD","System Administration,Automation,Cloud Computing",0,DevOps Engineer
Bachelor,"Data Analysis,Roadmap Planning,Scrum,Product Strategy,Stakeholder Management,SQL","Leadership,Innovation,Product Development",2,Product Manager
Bachelor,"Prototyping,Design Thinking,HTML,User Research,Wireframing,Figma,Adobe XD","User Experience,Design",0,UX/UI Designer
Master,"Deep Learning,SQL,Data Visualization,Machine Learning,TensorFlow,Statistics,Pandas,Python,NumPy,R","Data Analysis,Statistics",0,Data Scientist
Bachelor,"SQL,Data Analysis,User Research,Roadmap Planning,Leadership,Product Strategy,Agile,Stakeholder Management,Scrum",Leadership,1,Product Manager
Master,"Docker,Node.js,React,Python,API Development,C++,JavaScript","Mobile Apps,Software Development,Problem Solving",0,Software Engineer
Bachelor,"Python,Docker,Git,SQL,API Development,Algorithms,React,AWS","Web Development,Mobile Apps",0,Software Engineer
Master,"SIEM,Firewalls,Penetration Testing,Risk Assessment,Python,Network Security,Linux,Cryptography,Ethical Hacking","Security,Risk Management",2,Cybersecurity Analyst
Master,"Python,AWS,JavaScript,SQL,Docker",Mobile Apps,1,Software Engineer
Master,"R,Statistics,Pandas,Tableau,Data Visualization,PyTorch,NumPy,Machine Learning,Python,SQL",Research,0,Data Scientist
Bachelor,"HTML,User Research,Figma,CSS,Prototyping,Design Thinking,Usability Testing,Adobe XD","User Experience,Product Development",0,UX/UI Designer
Master,"Product Strategy,SQL,Stakeholder Management,Agile,User Research,Data Analysis,Leadership,Scrum","Strategy,Leadership",2,Product Manager
Bachelor,"Cryptography,SIEM,Linux,Penetration Testing,Network Security,Python,Ethical Hacking","Ethical Hacking,Network Protection",0,Cybersecurity Analyst
Bachelor,"HTML,Wireframing,Prototyping,Design Thinking,Adobe XD,CSS","Design,Visual Design,Product Development",1,UX/UI Designer
